Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
ATPG41011032,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,2,0,0,0.0591,0,0.06255,0,0.066,0,0.06255,11171804,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30800642,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.14,0,0.14,0,0.14,0,0.14,11171816,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41114032,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,2,0,0,0.0114,0,0.0118,0,0.0122,0,0.0118,11172604,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20801132,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.036,0,0.036,0,0.036,0,0.036,11173698,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41114072,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2.013,0,2.013,0,2.013,0,2.013,11181610,Austria,0,0,0,2015-01-01,2015-12-31
ATPG32500392,Ground Water,Copper and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.1,0,1.1,0,1.1,0,1.1,11184863,Austria,0,0,0,2015-01-01,2015-12-31
DESM_BWU41,River Water,Epoxiconazole,Water,ug/L,2013,,0.05,13,13,1,0.05,1,0.05,1,0.05,1,0.05,11201816,Germany,0,0,0,,
CZPMO_1132,River Water,Electrical conductivity,Water,uS/cm,2015,2015-01-12--2015-11-30,10,12,,0,155,0,277.83333,0,360,0,272.5,11143942,Czech Republic,0,0,0,2015-01-12,2015-11-30
BERW_04313,River Water,pH,Water,[pH],2015,2015-01-01--2015-12-31,,13,0,0,7.42,0,8.11,0,8.82,0,8.21,11194586,Belgium,0,0,0,2015-01-01,2015-12-31
BERW_11221,River Water,Phosphate,Water,mg{P}/L,2015,2015-01-01--2015-12-31,,12,0,0,0.008,0,0.022,0,0.033,0,0.02,11195347,Belgium,0,0,0,2015-01-01,2015-12-31
ATPG31900702,Ground Water,Mercury and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.12,0,0.12,0,0.12,0,0.12,11177400,Austria,0,0,0,2015-01-01,2015-12-31
ATPG70331022,Ground Water,Mercury and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,0.2,1,1,1,0.2,1,0.2,1,0.2,1,0.2,11177762,Austria,0,0,0,2015-01-01,2015-12-31
ATKK72530012,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.77729,0,1.77729,0,1.77729,0,1.77729,11179575,Austria,0,0,0,2015-01-01,2015-12-31
ATPG61046052,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,71.8,0,71.8,0,71.8,0,71.8,11187400,Austria,0,0,0,2015-01-01,2015-12-31
ATPG32200102,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,250,0,250,0,250,0,250,11187559,Austria,0,0,0,2015-01-01,2015-12-31
ATKK61208012,Ground Water,Dichloromethane,Water,ug/L,2015,2015-01-01--2015-12-31,0.2,1,1,1,0.2,1,0.2,1,0.2,1,0.2,11188199,Austria,0,0,0,2015-01-01,2015-12-31
CZPOH_1022,River Water,Pentachlorophenol,Water,ug/L,2014,2014-01-15--2014-12-11,0.025,12,12,1,0.025,1,0.025,1,0.025,1,0.025,11133962,Czech Republic,0,0,0,2014-01-15,2014-12-11
CZPLA_42,River Water,Sodium,Water,mg/L,2015,2015-01-13--2015-12-08,0.5,12,0,0,4.8,0,8.91667,0,12.4,0,9,11147323,Czech Republic,0,0,0,2015-01-13,2015-12-08
